d21ee2de66,skip,[wip] Upgrade msvc to 14.13 (#40109)
0e074074f3,jit,Disable inlining an opaque tensor into a constant (#40367)
f6b9848c25,improvements_frontend,Use chain.from_iterable in optimizer.py (#40156)
b623bdeabb,skip,Move TensorOptions ops to c10 (#39492)
5ad885b823,caffe2,[Caffe2][Pruning] Make the caffe2 Sum operator support long types (#40379)
09285070a7,complex_frontend,Doc fix for complex views (#40450)
581ad48806,skip,Revert D21581908: Move TensorOptions ops to c10
d8ec19bc03,skip,Revert D22072830: [wip] Upgrade msvc to 14.13
cc9075c5d4,dispatcher,Add some syntax sugar for when backends use the same function. (#40182)
111b399c91,dispatcher,Delete requires_tensor (#40184)
c7d79f35e3,complex_frontend,Header rename complex_type.h -> complex.h (#39885)
2e6da36298,mobile,[android][ci] Fix CI packaging headers to aar (#40442)
a6a2dd14ea,docs_frontend,Fix typo in warning message (#39854)
883e4c44b2,new_features_frontend,Raise exception when trying to build PyTorch on 32-bit Windows system (#40321)
7e32e6048d,bug_fixes_frontend,Fix linspace step computation for large integral types (#40132)
ddb8565b25,performance_frontend,Revert D22162469: [pytorch][PR] Migrate `var` & `std` to ATen
92d3182c11,mobile,Revert D21232894: Unify PyTorch mobile's threadpool usage.
c314e0deb5,quantization,[quant] Quantized adaptive_avg_pool3d (#40271)
a2d4d9eca6,improvements_frontend,Improve Dynamic Library for Windows (#40365)
7b0f867c48,performance_frontend,Perf improvement of Conv2d and Conv3d (#40324)
46b9e519aa,quantization,Remove print (#40475)
f035f73d53,releng,Fix the issue that run clang-tidy on the aten folder (#39713)
0ecea2d64d,distributed,[JIT x RPC] Consolidate Future type class and Future impl class (#40406)
b4eb82cd29,caffe2,"Temporary commit at 6/17/2020, 6:49:44 PM"
72e8690b78,onnx,Fix typo. in error message (#39958)
e439cf738a,docs_frontend,Fix examples Adaptive avg pooling typo (#40217)
a4dec0674c,docs_frontend,[doc] fix typo in formula of MarginRankingLoss (#40285)
ecd9a64712,jit,fix `torch.jit.trace_module` documentation (#40248)
4975be80f8,distributions,"fix typo ""normal"" -> ""Cauchy"" (#40334)"
e490352dc4,complex_frontend,Simplify complex case for tanh backward (#39997)
43ab9c677b,improvements_frontend,Add invariants check to BatchedTensorImpl (#40171)
727463a727,vmap_frontend,Initial vmap frontend API (#40172)
b4ccdef090,new_features_frontend,Allow torch.cuda.amp.GradScaler to support sparse gradients (#36786)
3ed96e465c,improvements_frontend,Report error when ATEN_THEADING is OMP and USE_OPENMP is turned off. (#40146)
597cb04b2f,caffe2,Use Int8QuantParamsBlob to pass the scale and zeropoint params (#40494)
a2e1a948a4,distributed,Increase number of iterations in DDP SPMD tests (#40506)
de7ac60cf4,distributed,Add out= variants for cuda.comm.broadcast/gather/scatter (#39681)
fc4824aa4a,new_features_frontend,enable mkldnn dilation conv (#40483)
fe18dcd692,jit,Use GLOG logging prefixes (#40491)
527ab13436,skip,[NCCL] Explicitly Abort NCCL Communicators on Process Group Destruction (#40241)
3e2d2fc856,distributed,[NCCL Docs] Adding Comments for Work-level Finish in ProcessGroup (#40404)
0c923eea0a,distributed,"Add finishAndThrow function to ProcessGroup::Work, and use with Gloo (#40405)"
72f2c479e3,th_aten_frontend,Migrate equal from the TH to Aten (CPU) (#33286)
