9b27e0926b,skip,new_features,Add callgrind collection to Timer (#44717)
7566823779,jit,new_features,Enable PE + TE (#45546)
e02868e12d,cpp_frontend,bug_fixes,Unify Transformer coder Constructors (#45515)
96540e918c,dataloader_frontend,new_features,Add ShuffleDataset with buffer (#45290)
7e863475d7,skip,Untopiced,Upgrade ReadMe document to guide user to install libuv(1.39) in conda env on Windows platform (#45553)
415ed434aa,skip,Untopiced,Add whitelist for complex backward (#45461)
939e0389de,foreach_frontend,improvements,Update test_multi_tensor_optimizers test (#45510)
4f3920951e,python_frontend,devs,type check for torch.quantization.quantize_jit (#45548)
6c4aa2a79c,skip,Untopiced,Revert D24002415: Some fixes to smooth_l1_loss
51d0ae9207,skip,Untopiced,Revert D24010742: [pytorch][PR] Add callgrind collection to Timer
5539066d12,fx,new_features,[quant][graphmode][fx] Support quantization for custom module (#44074)
a245dd4317,caffe2,Untopiced,add dllexport before template specialization functions for windows build (#45477)
ce9df084d5,python_frontend,improvements,"[pytorch] Replace ""blacklist"" in test/test_mobile_optimizer.py (#45512)"
c112e89cc6,quantization,Untopiced,[quant] Make choose_qparams_optimized return Tensors to preserve dtype (#45530)
181afd5220,distributed,improvements,Add an option to DDP to take a list of parameters to ignore upfront. (#44826)
c9bb990707,cpp_frontend,new_features,[c++] Distance-agnostic triplet margin loss (#45377)
ffd50b8220,build_frontend,bug_fixes,SET USE_DISTRIBUTED OFF when libuv is not installed (#45554)
ac9a708ed0,skip,Untopiced,[FX] Shape propagation example (#45589)
6b42ca2d69,onnx,improvements,[ONNX] Update embedding_bag export (#44693)
2596113a79,python_frontend,improvements,Add fuse support for batchnorm with affine=False (#45474)
56840f0a81,caffe2,Untopiced,Prevent overflow in bucketize binary search
85a70ce71f,jit,improvements,Add multiline string dedent support (#45580)
4be42034b6,quantization,bug_fixes,Clear shape information before finalizing graph-mode quantization (#45282)
6fde2df1b8,jit,devs,[JIT] Update JIT triage project board workflow (#45613)
f2c2b75e80,jit,improvements,flush the buffer when printing the IR (#45585)
869b05648d,skip,Untopiced,Revert D24024606: [FX] Shape propagation example
0b3ad5404a,quantization,devs,[bot] Add quantization triage bot script (#45622)
3a2d45304d,distributed,new_features,[Experimental][Partial] New implementation for torch.distributed APIs in C++ (#45547)
2b13d9413e,benchmark,new_features,Re-land: Add callgrind collection to Timer #44717 (#45586)
9d5607fcd9,quantization,Untopiced,[quant] Use PlaceholderObserver as default dynamic quant observer (#45343)
75fc263579,jit,docs,[TensorExpr] Add a tensor expressions tutorial. (#45527)
3f440d74fc,mobile,new_features,[PyTorch][QPL] Add instance_key into MOBILE_MODULE_STATS logging. (#45517)
ffcb0989e7,skip,Untopiced,[quant][graphmode][fx] Merge all quantization mode (#45292)
d306d0c2b1,skip,Untopiced,remove redundant PE(profiling executor) jobs in CI (#45397)
4339f5c076,mobile,Untopiced,[PyTorch][QPL] Add instance_key into MOBILE_MODULE_LOAD_STATS logging. (#45518)
78b95b6204,fx,docs,"Revert ""Revert D24024606: [FX] Shape propagation example"" (#45637)"
c36b354072,skip,Untopiced,Revert D23913105: [quant][graphmode][fx] Merge all quantization mode
